,query,engine,batch,instance,query_class,status,timeout,nb_results,nb_distinct_sources,relevant_sources_selectivity,tpwss,source_selection_time,planning_time,ask,exec_time,http_req,data_transfer,sts,exec_time_only
21110,q11,costfed,5,0,SD,success,,9.0,1.0,0.0083333333333333,1.0,573.0,574.0,600.0,581.0,601.0,0.266574,success,8.0
21111,q11,splendid,5,0,SD,error_runtime,120000.0,,1.0,0.0083333333333333,2.0,,,0.0,,540.0,0.023757,error_runtime,
21112,q11,splendid,5,0,SD,error_runtime,120000.0,,1.0,0.0083333333333333,2.0,,,0.0,,540.0,0.023757,error_runtime,
21113,q11,splendid,5,0,SD,error_runtime,120000.0,,1.0,0.0083333333333333,2.0,,,0.0,,540.0,0.023757,error_runtime,
21114,q11,semagrow,5,0,SD,success,,9.0,1.0,0.0083333333333333,2.0,1019.0,27.0,360.0,1118.0,361.0,0.115162,success,99.0
21115,q11,semagrow,5,0,SD,success,,9.0,1.0,0.0083333333333333,2.0,990.0,26.0,360.0,1092.0,361.0,0.115162,success,102.0
21116,q11,semagrow,5,0,SD,success,,9.0,1.0,0.0083333333333333,2.0,1019.0,34.0,360.0,1134.0,361.0,0.115162,success,115.0
21117,q11,anapsid,5,0,SD,error_runtime,120000.0,,,,,,,,,,,error_runtime,
21118,q11,anapsid,5,0,SD,error_runtime,120000.0,,,,,,,,,,,error_runtime,
21119,q11,anapsid,5,0,SD,error_runtime,120000.0,,,,,,,,,,,error_runtime,
21120,q11,fedup_h0,5,0,SD,success,,18.0,1.0,0.0083333333333333,3.0,0.1,,240.0,4.0,242.0,0.15681799999999999,success,3.9
21121,q11,fedup_h0,5,0,SD,success,,18.0,1.0,0.0083333333333333,3.0,1.0,,240.0,4.0,242.0,0.15681799999999999,success,3.0
21122,q11,fedup_h0,5,0,SD,success,,18.0,1.0,0.0083333333333333,3.0,0.1,,240.0,5.0,242.0,0.15681799999999999,success,4.9
21123,q11,rsa,5,0,SD,success,,9.0,1.0,0.0083333333333333,2.0,,,0.0,30.48348426818848,1.0,0.0029259999999999998,success,
21124,q11,rsa,5,0,SD,success,,9.0,1.0,0.0083333333333333,2.0,,,0.0,33.71381759643555,1.0,0.0029259999999999998,success,
21125,q11,rsa,5,0,SD,success,,9.0,1.0,0.0083333333333333,2.0,,,0.0,37.41025924682617,1.0,0.0029259999999999998,success,
21126,q11,fedx,6,0,SD,success,,9.0,1.0,0.0071428571428571,2.0,772.0,0.0,420.0,918.0,421.0,0.135294,success,146.0
21127,q11,fedx,6,0,SD,success,,9.0,1.0,0.0071428571428571,2.0,722.0,0.0,420.0,877.0,421.0,0.135294,success,155.0
21128,q11,fedx,6,0,SD,success,,9.0,1.0,0.0071428571428571,2.0,742.0,0.0,420.0,911.0,421.0,0.135294,success,169.0
21129,q11,costfed,6,0,SD,success,,9.0,1.0,0.0071428571428571,1.0,681.0,682.0,700.0,693.0,701.0,0.310722,success,12.0
21130,q11,costfed,6,0,SD,success,,9.0,1.0,0.0071428571428571,1.0,755.0,756.0,700.0,764.0,701.0,0.310722,success,9.0
21131,q11,costfed,6,0,SD,success,,9.0,1.0,0.0071428571428571,1.0,728.0,729.0,700.0,736.0,701.0,0.310722,success,8.0
21132,q11,splendid,6,0,SD,error_runtime,120000.0,,1.0,0.0071428571428571,2.0,,,0.0,,630.0,0.027717,error_runtime,
21133,q11,splendid,6,0,SD,error_runtime,120000.0,,1.0,0.0071428571428571,2.0,,,0.0,,630.0,0.027717,error_runtime,
21134,q11,splendid,6,0,SD,error_runtime,120000.0,,1.0,0.0071428571428571,2.0,,,0.0,,630.0,0.027717,error_runtime,
21135,q11,semagrow,6,0,SD,success,,9.0,1.0,0.0071428571428571,2.0,1104.0,36.0,420.0,1207.0,421.0,0.13336199999999998,success,103.0
